ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	36_AN2_D	33_AN2_ND	2_WT_ND	35_WT_D	27_AN2_ND	26_WT_ND	18_AN2_D	6_AN2_D	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
9962	180.0657853	3.803707279	10752.89	632197.63	411762.50	423209.06	227714.48	532690.19	406292.38	525164.44	511884.22	1253538.63	444312.59	913460.94	553281.06	1536046.38	1677487.63	1258509.50	1535292.00
9963	509.4175328	8.449766627	0.00	631422.88	3063350.50	1602694.00	4770564.50	4110457.50	2525808.00	3135936.00	1492057.50	7530916.50	4029993.00	3487640.50	10684710.00	4128890.75	5426483.50	2748731.50	5466898.50
9964	180.9874315	0.377898876	0.00	629922.63	338336.69	251053.55	537299.94	97865.61	60121.59	237763.03	609362.94	450035.19	753231.06	308974.63	333709.41	318990.13	247474.14	464620.09	56749.39
9967	301.0704713	4.26069909	0.00	627687.06	204461.48	284195.53	355141.47	413022.00	210603.72	249489.19	454270.47	1028195.06	630981.19	747561.69	840719.13	937533.50	1388975.38	436502.81	486988.06
9971	423.2361788	5.4866326	10268.87	624762.00	271508.16	229846.23	986208.31	135313.67	170347.69	1433412.88	1353189.50	648471.31	242613.91	1140624.88	357587.19	227040.39	59410.76	149341.69	297674.19
9974	413.1427095	2.224661706	0.00	622613.50	5382996.50	15138206.00	3372410.25	3482043.00	2596056.00	4304068.00	6883626.50	6616678.00	2378537.00	6010654.00	2819885.50	1984350.13	4696363.50	7174642.00	1672143.63
9977	130.0170365	0.32385222	55521.39	621394.75	45751680.00	20013188.00	2718584.25	177983.14	60779296.00	183302.16	1934108.63	5290399.00	232402.45	2645738.25	542485.25	1736445.50	3619164.00	9622346.00	23194768.00
9981	219.1016659	3.309035073	0.00	615432.00	623741.94	1045949.81	1893091.25	244654.06	813363.50	4486437.00	3281630.25	2516695.50	1336168.38	1564295.88	858270.50	798195.25	1095264.75	2542874.00	1075338.50
9983	127.1231975	0.333513702	11510.57	612947.00	26128.71	21136.40	68674.47	1622908.75	14988.04	628022.13	1034770.13	141256.47	140420.13	2833303.25	2094813.25	5985263.50	124407.56	1809720.25	9366261.00
9984	698.3643579	5.968517575	0.00	612858.44	301407.75	206237.56	408919.47	0.00	447840.63	3306429.25	548371.44	296793.50	511235.56	108250.55	854879.25	16242.26	279326.84	190376.98	0.00
9985	341.1389034	5.06672185	0.00	610440.69	497103.31	670287.94	617849.63	18191906.00	703168.06	771149.75	4059065.00	2116096.00	428130.50	2041823.13	2508049.25	4372976.50	2152117.25	2594420.00	3297761.25
9987	279.2322093	7.608528565	27946.70	608857.38	163325.11	257698.14	495536.59	138701.22	369786.06	1245010.88	433249.16	228552.41	400691.19	332631.50	655110.69	161159.34	533236.56	382454.25	243816.97
9990	533.1567951	0.523429646	0.00	607524.56	2411688.25	1487785.25	293698.72	94373.16	161018.47	14233.70	941308.75	550374.13	141574.77	1083269.38	137829.39	385379.84	180173.69	758516.63	660270.94
9991	261.0371851	0.458788069	0.00	607045.00	1015364.25	271535.03	2137641.75	457468.59	313788.94	787033.75	1865165.00	1544531.00	1573669.00	1513487.50	422633.44	956849.56	380776.06	2013051.00	503911.63
9992	395.3316217	9.111960429	4635.14	606828.31	2338455.75	846002.56	771287.81	454367.66	2850596.25	1851693.50	600318.63	3906820.00	2158631.75	1224599.50	7792293.00	7600939.50	4026095.25	2820284.00	5658663.00
9995	106.0045333	0.328318326	40596.88	606362.13	31565302.00	17152286.00	2217105.25	112956.96	42057084.00	148074.16	1193556.63	3656555.25	151548.75	2299540.50	500619.22	1158566.75	3324334.25	9060677.00	20716538.00
9996	261.2216197	5.709408674	10145.78	605940.56	367777.88	473372.78	459591.13	248262.53	787802.75	3285210.50	1291702.00	948797.25	749149.13	593234.13	924212.38	354791.84	1349724.25	867054.81	819246.06
9997	331.0254911	2.955035628	0.00	604673.88	519734.03	628110.56	364966.09	203302.39	734606.38	551104.69	565700.19	474821.00	755994.88	595980.81	192383.42	385824.72	377153.84	300063.00	106536.27
9998	389.1450434	2.710259395	0.00	603755.06	1122334.75	4844779.50	1860343.00	8842290.00	842364.00	8886059.00	11045358.00	6911041.00	3469237.00	17097768.00	4085070.00	7000727.50	3634926.50	14169381.00	5515604.00
9999	146.0812313	0.752365756	21151.06	603025.00	344830.59	283780.25	905161.63	12756609.00	1398901.13	1312668.75	4969970.00	1439603.88	1034512.63	3131451.75	3247304.25	2543959.50	1430120.63	6319380.00	16405884.00
10000	568.2400106	3.393295272	0.00	602583.13	622658.31	911900.56	2350855.50	876197.13	1286408.63	3797532.75	4071962.50	1477444.75	1919661.75	3673947.25	1270159.50	1510532.88	1500362.13	3117395.75	848013.81
10001	404.6184083	5.33024247	0.00	602426.44	511302.09	824740.88	717871.25	589975.94	597007.25	504870.84	624533.69	638078.44	588756.31	564886.38	487434.97	451247.81	552947.69	476055.97	307354.22
10002	342.0779357	3.410224035	0.00	602022.13	876436.56	525439.88	1139664.00	26833.89	2444392.25	803975.31	701651.31	290890.50	1810861.63	842718.81	427752.22	627129.44	741450.06	808414.25	737910.81
10003	493.1352556	3.351573894	0.00	601066.31	1667585.00	3623935.25	1744102.25	2758252.50	722361.50	4268588.50	26541862.00	34409460.00	3276589.00	15481438.00	10993689.00	26667560.00	13476511.00	12406045.00	12970950.00
10005	413.3630567	7.519720175	0.00	600432.81	3009489.00	2209427.25	3554475.50	13193847.00	5821451.00	4068167.75	5084155.50	13460506.00	6028907.00	5369561.00	12611370.00	11120004.00	11207668.00	12202783.00	15100284.00
10006	206.1056859	7.3049525	0.00	600348.06	548605.69	506926.72	817819.06	225983.64	644935.63	851441.50	643951.88	519053.78	522650.69	483746.00	1154491.13	433619.66	646129.38	518768.50	295920.78
10007	248.1402408	7.678356318	38507.80	600096.25	540150.31	669569.44	762293.19	125850.34	951598.31	967754.56	474354.50	406854.31	404651.81	458767.84	1495206.50	404795.59	1003951.00	938104.13	430574.63
10010	227.0915789	0.739582918	0.00	599262.19	5204367.00	7465297.00	3320315.00	2272390.75	1836402.88	5653308.00	9242126.00	7893167.00	2219726.00	6616222.00	1848761.63	1476819.63	2018292.38	7243645.00	1823723.75
10015	369.1337919	4.768518152	0.00	596271.31	602351.88	1210845.50	745312.19	14778076.00	1271702.00	1299563.13	4096702.25	2693737.50	660865.69	1895187.63	2267392.75	3954798.75	2674672.25	3218400.00	3742730.75
10016	403.1353324	6.026312589	0.00	596153.69	0.00	76582.53	48316.26	701738.88	14518.67	38548.57	41454.89	16917.56	104276.27	344749.59	23323.04	552031.88	195237.06	284942.84	32306.55
10017	727.2392663	5.543144211	0.00	594749.06	753856.00	1985771.00	1918415.25	3240836.75	1205652.75	2031016.25	3813363.75	2926226.25	2065108.13	3716647.00	2773827.00	4398699.50	3297517.25	5089948.00	3772980.50
10019	140.070782	0.780647084	16717.32	592094.13	645824.50	181938.44	502417.06	235224.28	291283.50	198079.97	189618.03	105481.73	301492.63	348735.84	92034.65	271900.63	139201.53	175142.52	288279.47
10021	319.0030889	0.396587541	0.00	591385.00	0.00	0.00	162645.28	674757.50	0.00	30167.82	442219.03	63415.38	171873.06	542423.56	603784.69	907406.50	76953.58	213515.69	1177163.63
10023	357.3005316	7.643535447	12527.16	588342.06	524132.06	565548.44	650368.69	139145.70	1054993.00	1052775.63	693654.00	374818.94	412396.88	512232.25	2481384.25	381101.88	1113717.13	946458.38	584999.44
10024	234.0523066	3.211099152	0.00	586789.06	4737005.50	5425685.50	2251275.25	3565675.75	4217839.50	2561264.25	4198175.50	4154675.25	3923340.00	3617899.50	3149196.50	3938975.50	2878958.25	3305123.25	2477824.00
10026	414.1187676	2.70838645	0.00	585883.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10028	309.2423107	8.344856224	4880.94	585129.44	198732.31	229075.38	406559.91	58418.00	376860.56	718816.56	292657.78	216268.94	294927.69	248767.48	977450.31	123380.30	545952.56	420782.78	195400.09
10033	525.1404801	4.54113611	0.00	582216.81	178488.48	611268.69	451402.56	1880350.38	70390.15	1534807.25	5021133.50	6448801.50	343655.31	3674755.00	5316199.50	9804322.00	1603332.75	3028700.75	1272193.75
10035	518.3232795	6.417888128	0.00	581620.19	134296.11	311552.16	234469.23	630103.75	1708366.25	767599.13	2009745.38	2045568.75	4051437.00	7862483.00	898370.75	2015892.38	28229256.00	11784770.00	2190771.50
10037	194.1178924	1.740385015	70276.88	581401.25	346235.97	412977.13	378133.91	228901.14	588341.81	334432.84	299736.16	732906.75	373725.50	543299.88	435287.97	717181.81	820130.56	536013.63	1177129.75
10038	453.1188532	4.098538553	0.00	580879.75	48430.33	0.00	2582022.50	0.00	17633.26	276234.00	1552568.50	771869.81	91546704.00	30496794.00	2201531.00	9834178.00	500728.00	781149.19	117321.80
10039	617.5143952	8.766228948	10148.44	578806.19	433564.34	402418.94	1380020.38	1506792.25	431057.13	836019.19	727688.00	852750.63	1297263.63	632057.13	870175.50	817852.63	713849.44	962559.50	811527.38
10040	397.3833588	10.43140296	3975.70	577353.19	351193.28	382734.47	564518.44	1290941.88	365964.44	789399.88	801105.81	1033024.94	1043548.06	1253840.63	600186.25	1269073.25	676195.44	1082749.63	1017435.63
10044	260.0532835	0.406842288	5007.64	575538.44	1312084.50	923900.19	855384.50	381074.03	166119.36	304285.22	1737330.63	977276.13	1123565.88	989844.88	360623.59	604796.25	274466.66	1147241.38	275482.28
10046	399.1428285	3.333938205	0.00	575099.31	984202.50	1959063.38	1778827.00	8539051.00	700790.81	1176020.00	5462704.50	936056.31	449744.13	1117569.13	1733709.25	863520.50	657387.63	1566173.00	422204.56
10047	843.296046	4.627200533	0.00	573916.81	136225.88	239891.03	562177.38	4888685.00	67165.89	1273433.38	3468160.75	817686.38	341354.38	2605626.50	1982457.50	5728082.50	380084.34	1787161.50	2406612.50
10050	436.1242291	2.994003716	0.00	571760.75	279682.47	511035.66	417151.72	208772.48	964057.31	1128918.13	1098482.00	822278.75	1157535.50	2462570.00	1238173.63	1031081.06	1003098.06	1424175.50	1323146.38
10051	427.1377309	3.68723804	0.00	571477.31	909120.50	1857643.38	3049799.50	6228698.50	792721.81	3984381.25	5290091.00	2149948.50	729091.25	1726015.13	1438036.25	1572184.75	1395033.50	2989790.00	993259.81
10052	459.4049484	8.0182658	0.00	571201.44	2212984.00	1846057.75	2473673.50	8649637.00	3618359.50	2279631.75	2479990.50	7891312.50	4774351.00	6115581.00	10809072.00	8275144.50	10673419.00	7915841.00	12774516.00
10053	233.1167268	6.601855997	10493.79	570862.44	185022.44	735507.44	1055471.38	864571.63	661215.63	1078693.13	1191238.75	1673693.25	1620338.75	1854707.63	1662249.88	1619330.88	3724138.50	2008703.50	1495990.75
10056	325.2378611	5.484820826	8165.73	569782.44	311583.34	836780.13	866612.19	71257.06	1339934.50	558387.38	635375.88	664345.31	1647748.50	659747.94	422843.03	204818.38	2873182.50	1015390.56	471222.22
10057	385.0848055	2.81955707	0.00	569471.88	3936578.50	4096587.75	938062.94	4412762.00	1483440.50	2221697.75	4727633.00	3414883.50	3847322.75	2730598.75	2141245.25	3030817.00	1023385.38	3370519.00	1732317.00
10058	520.1952605	3.410861321	0.00	568637.94	1492307.13	1586786.50	1480628.00	1859822.75	1718766.38	4279121.00	3569382.50	2267668.00	2623123.50	2493369.50	645978.56	1301131.38	1394403.63	3080080.75	506560.81
10060	269.113444	2.281946939	0.00	568333.63	478517.91	652244.69	723083.06	118943.09	625590.94	853618.94	404961.72	234598.44	818247.00	778757.50	362346.25	224361.66	652619.31	466483.00	150339.81
10062	379.247119	6.927908382	73670.98	567540.69	68200.59	77978.98	292279.75	42517.33	170657.88	678007.19	376042.91	82819.30	198395.16	191515.53	562057.81	79690.14	152739.77	135598.53	82842.81
10063	219.0653199	5.125474135	0.00	567536.50	860204.75	1425835.25	1411669.38	6189628.00	1474122.75	1901538.75	4353068.00	2984459.50	1268143.00	3412622.00	2558708.50	4785570.00	3317473.50	4613529.00	4511008.00
10066	355.1006631	2.243471167	0.00	567045.88	3098818.50	7152621.50	6050382.50	1618459.75	2388777.75	3395744.50	3156592.50	3448609.50	1654306.63	9210108.00	1501584.75	1431525.00	2061713.38	2792045.25	957233.25
10070	715.5333171	8.508400432	0.00	563604.31	954395.06	1084915.38	2320905.75	311696.53	1074923.13	1386837.13	280300.31	1091861.75	2178862.75	936400.69	1480917.75	513610.97	1840138.50	427270.75	332861.00
10072	198.1238175	0.429408428	3009.87	562852.25	88924.28	155380.33	158164.78	1469250.63	130138.27	1563632.13	2747903.50	1332141.25	573685.38	1575723.13	1883185.75	2301407.75	1343512.75	2406957.25	2538501.50
10073	746.2814721	5.349745361	0.00	562765.69	723314.13	1175379.13	877443.31	1010243.19	1012413.50	795983.13	1197601.63	1184766.63	952338.81	1137033.88	900842.69	1057573.38	1032227.94	1501304.50	1037417.13
10075	382.0719231	2.773446678	0.00	562434.25	2162461.75	2543773.75	1322542.25	1440423.13	1338779.25	1768566.75	2292863.25	2583984.50	1457939.13	1786957.75	1524461.50	1419243.13	1292291.00	1656204.75	993804.69
