variable	mz	rt
1315	337.2064964	10.30408688
1337	381.2477867	10.20650956
1338	353.2163246	10.20519147
1339	395.2633205	10.20256
1340	367.2319202	10.20674938
1341	311.1692514	7.106654803
1342	293.1797902	7.539350671
1343	349.2424686	10.19770097
1344	341.1962913	10.21088906
1345	409.2789792	10.20792082
1346	451.3265195	10.1999993
1347	500.2351637	7.218293119
1349	353.2163328	8.454985075
1351	341.19628	8.522662924
1352	465.3417705	10.20325915
1353	455.1885396	8.63001206
1354	437.3106177	10.20003977
1355	393.2479182	10.21395679
1356	419.2121752	8.406602433
1357	367.2318373	8.546158518
1358	379.2320093	10.21358994
1359	322.1666499	5.96697469
1360	423.2949006	10.22069414
1361	323.2067765	10.23107093
1362	383.2431275	10.19729869
1363	355.2119522	10.18811277
1364	407.2630612	10.22719762
1365	214.880198	0.457751141
1367	439.1262584	8.499638644
1368	479.3574549	10.20172188
1370	183.0122923	10.20736359
1371	365.2167815	10.204513
1372	457.1860949	8.693288625
1373	457.2275611	8.074017968
1374	397.2588446	10.1982259
1375	412.2172866	8.454782753
1376	313.165095	7.091028162
1377	369.2276174	10.21248946
1378	295.1753803	7.578112356
1379	423.2226042	7.891208017
1380	249.1498846	6.796069094
1381	439.1258191	10.22095222
1382	213.0560975	4.827615935
1383	407.1883769	10.23011391
1384	307.1954584	8.529812
1385	679.4088098	8.517207314
1386	405.2691337	10.23139829
1387	701.3912429	10.2202655
1388	351.2375726	10.20709867
1389	493.3734145	10.20018188
1390	425.1105791	7.556242152
1391	277.1449092	6.027240397
1392	421.2798298	10.21003767
1394	449.3100728	10.2112959
1395	463.3270834	10.20664936
1396	137.024691	3.490470988
1398	335.2265251	10.21227
1399	407.1883809	8.500559688
1402	379.156591	7.042401166
1405	701.3911291	8.540962989
1406	317.1399725	5.964345435
1408	337.1850828	7.394427322
1409	481.1733475	10.2262325
1410	180.066871	5.077908103
1412	679.4091859	10.22544117
1413	365.216475	8.421267108
1414	411.2741776	10.2217084
1415	435.2932943	10.25478725
1416	673.3594774	7.487086927
1417	451.3264739	8.520207511
1418	333.1359056	6.350964059
1419	396.2190617	8.005959553
1420	519.2650503	8.42603675
1421	245.1398127	3.730446025
1422	495.1885986	10.2281695
1423	351.1995345	10.1909583
1424	1031.339436	6.916934503
1426	483.2241808	8.071267726
1427	479.3585683	8.483719342
1428	651.3772969	7.426101167
1429	785.4086422	8.519461643
1430	967.3268554	6.8567463
1432	209.9492334	0.400385934
1436	1025.690825	8.5128386
1438	477.342542	10.20776333
1439	381.2327938	9.202602176
1440	557.1529543	8.064000805
1442	236.8173722	10.19939584
1443	785.4088637	10.237226
1444	564.3456537	8.724880494
1445	1095.351432	7.004260677
1448	315.2546163	5.994047985
1449	351.2001825	8.467402671
1450	455.1214937	8.53655018
1451	715.4073153	10.1970685
1452	475.1759647	10.23413461
1453	236.1056982	5.250225215
1456	379.2315766	8.50133489
1457	393.105441	7.569759793
1458	355.211977	8.411240533
1459	451.228427	8.550615956
1460	453.3214766	10.20443275
1461	526.1352417	10.2205851
1462	1159.3639	7.053867679
1466	323.1692249	6.853794106
1467	308.916765	0.363144093
1469	467.1570892	10.2262325
1470	196.0254168	3.643894725
1471	455.1901025	7.39902725
1475	743.4417628	10.24310889
1481	465.3417367	8.43131967
1487	323.169245	7.040697444
1489	337.1851168	7.598226329
1490	526.1351007	8.51745835
1492	809.4091006	8.498246943
1494	369.1746734	8.082531026
1497	1049.689844	8.531036967
1501	400.9103012	0.354430192
1509	693.4250641	10.23590675
1511	421.1357651	10.2204375
1512	277.1448133	8.464779569
1515	299.1491459	6.379593079
1517	591.3588298	9.77607604
1519	428.2075797	7.511270833
1520	903.7619385	9.201696475
1521	564.3459591	7.551443367
1522	641.3551688	7.51977068
1523	239.129276	5.426879662
1524	455.1210744	10.2434334
1528	369.2277229	8.550181508
