variable	mz	rt
175	286.3109822	5.706009876
176	628.1958493	8.269013129
178	455.3892718	9.17898497
179	282.9106688	10.57331644
180	122.0965939	10.19204435
181	301.1417196	6.700510444
182	110.51893	10.61072115
184	588.4483158	7.511526115
186	324.2904594	5.700411636
187	142.9911178	10.37930121
188	483.3691753	7.521467288
189	409.2227312	6.820938424
191	289.1945547	6.303656444
194	439.3590233	7.428388256
195	356.3531894	5.814135885
196	419.2780917	6.960276126
199	230.2299831	5.107885672
203	115.086937	0.473651569
204	340.3578312	8.770476506
206	111.0385849	7.519616321
210	363.3113956	6.886017259
212	273.1854161	6.685036591
214	216.214225	4.751705371
215	305.247375	7.573784621
217	656.2272829	8.267787776
223	166.050115	11.42016276
227	355.2834541	7.207424312
228	283.2253948	6.800093985
230	116.0529682	6.765478091
232	554.1774857	7.877211626
235	130.5333564	10.59860494
237	121.1226507	0.837878927
239	184.9858271	0.335557064
240	366.3735702	8.788624879
241	776.2332565	8.826466147
245	167.9820687	10.69560903
246	136.9532475	0.333386837
248	151.0352316	10.37429006
255	353.2102971	6.734705382
258	363.215034	6.741470322
260	103.0320817	10.42512959
261	385.2001153	6.927750072
262	311.1859741	5.342320815
265	311.1778101	6.7404272
266	684.2043717	8.944934033
267	395.2212098	7.852692247
269	485.1141587	7.3731513
272	391.2845288	8.444788018
275	166.9908061	10.69925982
278	224.2125223	4.020996112
279	593.4037278	7.512224397
280	282.2795083	7.519848468
284	101.0715002	0.419553587
285	289.2531313	6.857645266
286	399.3092978	7.173288574
288	198.0172207	10.38249171
289	306.2797768	6.272942648
290	296.2951997	7.724921035
293	169.9976062	10.74280153
296	224.0116876	10.63829374
303	310.3107897	8.007939968
306	103.0870785	0.407268233
307	99.01089692	10.63576662
309	326.8769862	10.23801912
311	242.2844929	4.978378144
312	301.216746	6.9182195
318	874.7892147	9.317884126
319	215.1257689	2.985262806
323	633.1512337	8.26798815
325	199.0295233	10.68210294
327	163.0279613	0.87056983
329	262.1801996	10.17381029
330	181.0335105	0.379703713
333	339.2534611	7.5412238
335	587.5497565	9.200020568
336	171.1855027	10.18444229
339	351.2898645	7.533990876
340	760.5460508	7.205794417
341	371.1020017	7.877965553
342	166.0501086	0.141902426
344	229.2220881	4.8741121
347	175.0287756	0.349835388
348	158.1541225	4.924370768
349	205.0862523	6.715470132
351	358.3687592	6.092975426
353	270.2794338	7.622298521
354	524.4531864	8.310659547
356	304.8922122	10.66835606
361	235.1696118	6.351716224
362	180.0444335	10.42973685
366	336.3265269	8.111618209
367	408.3094533	7.840575556
368	312.3266996	5.832812324
370	134.529697	10.37292379
375	364.3430004	6.909033927
378	582.2087653	7.879973535
383	167.0704081	5.680828709
385	326.269823	7.019636347
389	226.180362	4.422123338
390	171.034553	10.73485179
391	185.0072691	10.37884294
393	91.00628165	10.38772962
395	179.1068393	5.264375332
396	182.9620925	10.50749203
397	130.1591108	10.18090209
399	228.1961329	4.864617853
