ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	33_AN2_ND	2_WT_ND	36_AN2_D	26_WT_ND	35_WT_D	6_AN2_D	18_AN2_D	27_AN2_ND	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
6244	553.134564	2.785097044	0.00	29551.53	40965.13	105633.55	74699.80	193254.11	43467.77	135252.50	20409.65	245960.97	87810.41	113117.59	126125.45	234575.05	292184.69	168788.78	229744.20
6245	767.4250827	6.067284967	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6246	409.1303676	5.414766286	0.00	118024.29	76134.30	91838.91	126267.95	118381.00	198303.06	403016.09	110135.48	342118.91	284795.19	288007.69	138139.63	484822.13	178184.02	325740.56	233187.38
6247	478.142251	0.476894066	0.00	0.00	0.00	0.00	31261.56	30024.51	34049.47	28954.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31551.12
6249	633.402836	7.554494428	0.00	232361.64	232162.94	156525.06	306720.84	274799.56	441567.31	1521798.25	852335.00	268074.88	996972.19	1033933.06	416187.47	1049749.50	441359.59	742836.94	1625844.25
6250	364.8432878	0.401963786	0.00	47981.20	139986.44	0.00	464650.06	0.00	612083.38	363944.25	1035126.94	345608.34	634513.69	1576012.75	258505.34	778858.94	425877.72	96580.68	107422.79
6251	507.3336459	7.822640723	0.00	0.00	0.00	0.00	6107.29	13254.67	41864.10	50541.66	8563.25	0.00	61203.78	34299.14	40676.83	63052.07	40345.57	0.00	52243.39
6252	913.4825711	5.912104267	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6253	393.172815	8.319594804	76156.42	0.00	139513.67	0.00	316054.69	0.00	300729.19	0.00	0.00	207536.13	612297.69	0.00	53991.30	215799.55	244282.83	0.00	530155.56
6254	547.2528748	0.761279261	1804.30	0.00	0.00	0.00	0.00	0.00	0.00	129297.23	284357.97	0.00	201051.52	0.00	7877.66	1065582.25	424841.94	1268023.88	224656.81
6255	111.0090244	0.797922268	5584.91	2388063.25	247999.05	229148.84	923100.63	582694.50	3739801.00	47706644.00	81220216.00	15865179.00	29701472.00	3753913.75	10392326.00	27063974.00	11937968.00	10509927.00	19730436.00
6257	548.1433621	3.464032715	0.00	123316.06	275615.63	104967.05	322562.47	461892.78	1240330.38	125297.94	325795.13	596022.94	1106379.25	953458.19	2204485.50	1405452.25	2722168.25	2047177.25	4500423.00
6258	202.072462	0.743245582	2613.06	172807.05	93148.38	109896.52	93969.85	347028.38	222419.20	230509.03	219908.06	204418.20	562585.25	582005.50	417328.91	340083.16	983481.19	469717.41	412955.06
6259	216.853956	7.636478118	494093.50	450594.19	643425.19	711860.69	517869.25	484266.94	190512.22	296219.78	369354.72	268311.44	625851.56	352474.34	326447.31	389787.72	567495.38	309616.97	322637.97
6261	576.1383432	3.850914823	0.00	0.00	7175.13	4481.13	0.00	5637.72	0.00	16393.28	0.00	0.00	9858.24	8786.74	39807.01	31984.73	59548.00	54250.66	87110.48
6262	431.1720143	4.217352859	0.00	18391.26	7250.57	4373.31	7321.10	17642.86	28071.91	12210.79	54420.73	13724.23	27430.67	16138.35	25356.67	109919.05	122045.59	40067.27	148114.22
6263	325.1412655	0.730045128	0.00	0.00	0.00	0.00	229883.59	1083414.75	596110.38	384614.69	2518926.50	1575217.00	871607.88	1832385.88	3983319.50	1361967.38	2760487.00	3118078.75	342544.56
6265	465.0868116	4.196705538	0.00	0.00	0.00	0.00	0.00	0.00	6229.59	29229.47	12940.33	10624.22	14654.82	16292.97	16547.53	0.00	7831.20	13160.73	0.00
6266	628.0911255	0.4300431	0.00	0.00	0.00	0.00	0.00	0.00	25607.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6267	807.5736735	8.30973106	0.00	0.00	0.00	0.00	0.00	0.00	8812.53	0.00	0.00	0.00	8791.49	9839.81	0.00	0.00	0.00	0.00	0.00
6268	743.2703966	5.131077317	0.00	83678.41	228997.50	544408.44	224347.22	503491.28	481814.56	5497386.50	237332.94	1155361.88	584895.75	602324.19	919441.44	1027998.94	1132549.88	1257657.13	890045.94
6269	621.4027024	7.451462306	0.00	254984.80	189651.19	164798.70	356322.75	303966.00	512266.94	974555.50	653085.38	349546.81	917582.63	1106237.13	329617.28	1051384.75	384888.88	729745.94	1401369.13
6271	389.1097128	2.9487188	0.00	14344.66	18422.77	32642.28	19940.21	56364.73	110732.63	96349.33	137514.20	174421.16	72841.54	201939.05	148801.95	121592.54	87614.20	127870.84	78057.39
6272	517.3550133	8.587636125	0.00	0.00	0.00	0.00	14846.91	10903.21	24219.29	0.00	0.00	0.00	61606.89	0.00	10455.53	0.00	0.00	0.00	0.00
6273	388.0901296	1.627054838	0.00	0.00	2177.99	3684.34	0.00	1960.47	5190.10	125764.49	4926028.00	3699.27	4252.06	6603.64	3253.88	167061.27	231048.02	9709836.00	391839.66
6274	1038.731085	8.59990974	0.00	0.00	13236.99	0.00	115099.66	0.00	10660.41	0.00	0.00	12242.12	323532.06	0.00	0.00	9282.18	12281.71	0.00	73234.46
6276	455.0670294	3.326670728	0.00	13175.10	0.00	14560.33	65730.91	0.00	358407.97	4019362.00	1131868.00	157675.02	146819.55	424359.19	193439.36	153716.41	470435.16	766396.25	160220.61
6277	239.1019385	0.948152747	0.00	0.00	0.00	0.00	0.00	0.00	6678.82	2313670.75	1204856.00	0.00	4022442.50	0.00	0.00	4130647.50	1033240.56	1461011.88	2656787.50
6279	761.2827053	4.700139786	0.00	79414.72	131419.06	239760.97	205123.06	324634.16	421517.66	4564648.00	179331.17	1007598.75	519630.38	537766.38	736036.88	687523.94	661277.88	894241.44	722806.75
6280	521.3496594	8.026843291	0.00	0.00	0.00	0.00	8250.09	0.00	37688.65	32920.20	0.00	0.00	15185.70	29361.41	41306.69	25265.28	25416.88	0.00	10744.63
6281	251.0566162	0.785933332	0.00	4884.20	6970.29	11493.13	23658.73	837227.63	2488354.50	16511765.00	1880919.50	7744320.50	3561254.25	32955.49	6975309.00	11344252.00	7072103.50	10623384.00	4284198.50
